,Year,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
0,1996,Washington Bullets,82.0,44.0,38.0,0.537,3971.0,2.05,0.81,1.68,48.0,0.08,0.25,33.1,0.35,0.5,70.7,0.25,0.61,0.86,0.48,0.32,0.18,0.1,0.08,0.46,0.0,0.03
1,1996,Vancouver Grizzlies,82.0,14.0,68.0,0.171,3956.0,1.85,0.71,1.63,43.7,0.11,0.32,34.9,0.31,0.44,70.9,0.26,0.54,0.8,0.47,0.33,0.17,0.12,0.12,0.44,0.0,-0.21
2,1996,Utah Jazz,82.0,64.0,18.0,0.78,3966.0,2.13,0.79,1.57,50.4,0.08,0.23,37.0,0.47,0.61,76.9,0.22,0.61,0.83,0.55,0.32,0.19,0.11,0.09,0.5,0.0,0.18
3,1996,Toronto Raptors,82.0,30.0,52.0,0.366,3966.0,1.97,0.73,1.67,43.7,0.15,0.41,36.3,0.36,0.51,72.0,0.29,0.57,0.85,0.43,0.34,0.18,0.13,0.11,0.47,0.0,-0.06
4,1996,Seattle SuperSonics,82.0,57.0,25.0,0.695,3956.0,2.09,0.76,1.62,46.7,0.14,0.4,35.3,0.44,0.58,75.2,0.26,0.57,0.83,0.49,0.31,0.23,0.1,0.11,0.46,0.0,0.16
5,1996,San Antonio Spurs,82.0,20.0,62.0,0.244,3946.0,1.88,0.72,1.62,44.2,0.1,0.3,32.0,0.35,0.49,71.9,0.28,0.54,0.82,0.42,0.32,0.16,0.11,0.11,0.45,0.0,-0.16
6,1996,Sacramento Kings,82.0,34.0,48.0,0.415,3971.0,1.99,0.76,1.66,45.4,0.1,0.27,39.1,0.38,0.52,72.3,0.28,0.58,0.86,0.45,0.34,0.15,0.09,0.11,0.48,0.01,-0.07
7,1996,Portland Trail Blazers,82.0,49.0,33.0,0.598,3971.0,2.04,0.76,1.63,46.4,0.13,0.35,35.8,0.41,0.57,71.3,0.27,0.63,0.89,0.43,0.34,0.16,0.11,0.11,0.49,0.0,0.09
8,1996,Phoenix Suns,82.0,40.0,42.0,0.488,3971.0,2.12,0.79,1.69,46.9,0.13,0.36,36.9,0.41,0.54,76.1,0.23,0.6,0.83,0.52,0.3,0.17,0.08,0.09,0.43,0.0,0.01
9,1996,Philadelphia 76ers,82.0,22.0,60.0,0.268,3956.0,2.08,0.76,1.73,43.8,0.11,0.34,31.9,0.45,0.62,72.5,0.32,0.6,0.92,0.43,0.36,0.17,0.1,0.12,0.44,0.0,-0.14
10,1996,Orlando Magic,82.0,45.0,37.0,0.549,3971.0,1.94,0.71,1.64,43.7,0.14,0.42,34.1,0.37,0.5,74.6,0.27,0.56,0.83,0.43,0.31,0.18,0.09,0.11,0.41,0.0,-0.01
11,1996,New York Knicks,82.0,57.0,25.0,0.695,3971.0,1.97,0.73,1.57,46.3,0.12,0.33,36.3,0.4,0.53,74.8,0.25,0.63,0.88,0.46,0.37,0.16,0.1,0.07,0.51,0.0,0.06
12,1996,New Jersey Nets,82.0,26.0,56.0,0.317,3956.0,2.02,0.76,1.79,42.2,0.12,0.35,35.3,0.38,0.51,74.0,0.36,0.6,0.96,0.44,0.33,0.17,0.12,0.13,0.47,0.0,-0.09
