,id,Date,Day,Home Team,Home Score,Away Team,Away Score,Playoffs
0,0205199983,02051999,Fri,83,Atlanta Hawks,100,Box Score,0
1,02051999103,02051999,Fri,103,Boston Celtics,92,Box Score,0
2,0205199978,02051999,Fri,78,Charlotte Hornets,66,Box Score,0
3,02051999110,02051999,Fri,110,Denver Nuggets,92,Box Score,0
4,0205199981,02051999,Fri,81,Indiana Pacers,96,Box Score,0
5,02051999101,02051999,Fri,101,Los Angeles Clippers,92,Box Score,0
6,0205199991,02051999,Fri,91,Los Angeles Lakers,99,Box Score,0
7,0205199995,02051999,Fri,95,Miami Heat,81,Box Score,0
8,0205199985,02051999,Fri,85,Orlando Magic,93,Box Score,0
9,0205199983,02051999,Fri,83,San Antonio Spurs,101,Box Score,0
10,0205199986,02051999,Fri,86,Seattle SuperSonics,92,Box Score,0
11,0205199996,02051999,Fri,96,Utah Jazz,104,Box Score,0
12,02061999106,02061999,Sat,106,Atlanta Hawks,111,Box Score,0
13,0206199973,02061999,Sat,73,Boston Celtics,77,Box Score,0
14,02061999113,02061999,Sat,113,Charlotte Hornets,107,Box Score,0
15,0206199986,02061999,Sat,86,Golden State Warriors,84,Box Score,0
16,0206199975,02061999,Sat,75,Philadelphia 76ers,95,Box Score,0
17,0206199982,02061999,Sat,82,San Antonio Spurs,96,Box Score,0
18,0206199997,02061999,Sat,97,Washington Wizards,98,Box Score,0
19,0207199998,02071999,Sun,98,Detroit Pistons,107,Box Score,0
20,02071999102,02071999,Sun,102,Golden State Warriors,99,Box Score,0
21,0207199989,02071999,Sun,89,Los Angeles Clippers,84,Box Score,0
22,02071999100,02071999,Sun,100,Los Angeles Lakers,91,Box Score,0
23,0207199969,02071999,Sun,69,New Jersey Nets,79,Box Score,0
24,0207199983,02071999,Sun,83,New York Knicks,79,Box Score,0
25,02071999108,02071999,Sun,108,Phoenix Suns,115,Box Score,0
26,0207199987,02071999,Sun,87,Sacramento Kings,109,Box Score,0
27,0207199988,02071999,Sun,88,Seattle SuperSonics,91,Box Score,0
28,0208199991,02081999,Mon,91,Charlotte Hornets,94,Box Score,0
29,0208199995,02081999,Mon,95,Cleveland Cavaliers,89,Box Score,0
30,02081999103,02081999,Mon,103,Detroit Pistons,106,Box Score,0
31,0208199980,02081999,Mon,80,Houston Rockets,99,Box Score,0
32,0208199990,02081999,Mon,90,Orlando Magic,107,Box Score,0
33,0208199980,02081999,Mon,80,San Antonio Spurs,75,Box Score,0
34,0208199995,02081999,Mon,95,Vancouver Grizzlies,76,Box Score,0
35,0209199987,02091999,Tue,87,Chicago Bulls,71,Box Score,0
36,0209199990,02091999,Tue,90,Dallas Mavericks,79,Box Score,0
37,02091999108,02091999,Tue,108,Miami Heat,101,Box Score,0
38,0209199970,02091999,Tue,70,Minnesota Timberwolves,74,Box Score,0
39,0209199986,02091999,Tue,86,Philadelphia 76ers,90,Box Score,0
40,02091999112,02091999,Tue,112,Phoenix Suns,95,Box Score,0
41,0209199971,02091999,Tue,71,Seattle SuperSonics,90,Box Score,0
42,0209199991,02091999,Tue,91,Toronto Raptors,77,Box Score,0
43,0210199987,02101999,Wed,87,Charlotte Hornets,77,Box Score,0
44,02101999103,02101999,Wed,103,Denver Nuggets,98,Box Score,0
45,0210199989,02101999,Wed,89,Golden State Warriors,82,Box Score,0
46,0210199982,02101999,Wed,82,Houston Rockets,92,Box Score,0
47,0210199989,02101999,Wed,89,New Jersey Nets,81,Box Score,0
48,0210199988,02101999,Wed,88,New York Knicks,101,Box Score,0
49,0210199992,02101999,Wed,92,Portland Trail Blazers,100,Box Score,0
50,0210199999,02101999,Wed,99,Vancouver Grizzlies,105,Box Score,0
51,0211199988,02111999,Thu,88,Atlanta Hawks,100,Box Score,0
52,0211199973,02111999,Thu,73,Chicago Bulls,68,Box Score,0
53,0211199989,02111999,Thu,89,Cleveland Cavaliers,99,Box Score,0
54,02111999105,02111999,Thu,105,Dallas Mavericks,95,Box Score,0
55,0211199987,02111999,Thu,87,Detroit Pistons,81,Box Score,0
56,0211199984,02111999,Thu,84,Miami Heat,102,Box Score,0
57,0211199975,02111999,Thu,75,Milwaukee Bucks,95,Box Score,0
58,0211199975,02111999,Thu,75,Minnesota Timberwolves,86,Box Score,0
59,0211199982,02111999,Thu,82,Phoenix Suns,74,Box Score,0
60,02111999101,02111999,Thu,101,Vancouver Grizzlies,97,Box Score,0
61,0212199994,02121999,Fri,94,Denver Nuggets,100,Box Score,0
62,0212199997,02121999,Fri,97,Golden State Warriors,81,Box Score,0
63,0212199998,02121999,Fri,98,Philadelphia 76ers,94,Box Score,0
64,02131999104,02131999,Sat,104,Phoenix Suns,107,Box Score,0
65,0213199992,02131999,Sat,92,Seattle SuperSonics,105,Box Score,0
66,0214199989,02141999,Sun,89,Chicago Bulls,76,Box Score,0
67,02141999100,02141999,Sun,100,Golden State Warriors,105,Box Score,0
68,0214199995,02141999,Sun,95,Los Angeles Clippers,73,Box Score,0
69,02141999101,02141999,Sun,101,Los Angeles Lakers,99,Box Score,0
70,0214199982,02141999,Sun,82,Orlando Magic,85,Box Score,0
71,0214199970,02141999,Sun,70,Philadelphia 76ers,78,Box Score,0
72,0214199992,02141999,Sun,92,Vancouver Grizzlies,96,Box Score,0
73,02151999115,02151999,Mon,115,Denver Nuggets,106,Box Score,0
74,0215199999,02151999,Mon,99,Golden State Warriors,101,Box Score,0
75,0215199972,02151999,Mon,72,Miami Heat,95,Box Score,0
76,0215199969,02151999,Mon,69,New York Knicks,78,Box Score,0
77,0215199984,02151999,Mon,84,Portland Trail Blazers,99,Box Score,0
78,02151999112,02151999,Mon,112,Utah Jazz,120,Box Score,0
79,0216199983,02161999,Tue,83,Chicago Bulls,67,Box Score,0
80,0216199978,02161999,Tue,78,Cleveland Cavaliers,90,Box Score,0
81,0216199992,02161999,Tue,92,Houston Rockets,109,Box Score,0
82,0216199989,02161999,Tue,89,Indiana Pacers,78,Box Score,0
83,0216199993,02161999,Tue,93,Los Angeles Clippers,89,Box Score,0
84,0216199988,02161999,Tue,88,Los Angeles Lakers,116,Box Score,0
85,0216199982,02161999,Tue,82,New Jersey Nets,97,Box Score,0
86,0216199985,02161999,Tue,85,New York Knicks,95,Box Score,0
87,0216199993,02161999,Tue,93,Philadelphia 76ers,92,Box Score,0
88,0216199998,02161999,Tue,98,Sacramento Kings,101,Box Score,0
89,0216199956,02161999,Tue,56,Seattle SuperSonics,71,Box Score,0
90,0217199991,02171999,Wed,91,Detroit Pistons,80,Box Score,0
91,0217199987,02171999,Wed,87,Golden State Warriors,96,Box Score,0
92,0217199988,02171999,Wed,88,Los Angeles Lakers,101,Box Score,0
93,0217199983,02171999,Wed,83,Milwaukee Bucks,91,Box Score,0
94,02171999102,02171999,Wed,102,Minnesota Timberwolves,116,Box Score,0
95,0217199985,02171999,Wed,85,Orlando Magic,96,Box Score,0
96,0217199985,02171999,Wed,85,Portland Trail Blazers,100,Box Score,0
97,0217199979,02171999,Wed,79,San Antonio Spurs,76,Box Score,0
98,02171999109,02171999,Wed,109,Seattle SuperSonics,106,Box Score,0
99,02171999131,02171999,Wed,131,Vancouver Grizzlies,129,Box Score,0
100,0218199974,02181999,Thu,74,Cleveland Cavaliers,98,Box Score,0
101,0218199995,02181999,Thu,95,Indiana Pacers,99,Box Score,0
102,0218199993,02181999,Thu,93,New Jersey Nets,92,Box Score,0
103,0218199995,02181999,Thu,95,Toronto Raptors,88,Box Score,0
104,0218199986,02181999,Thu,86,Utah Jazz,97,Box Score,0
105,0219199999,02191999,Fri,99,Atlanta Hawks,94,Box Score,0
106,0219199979,02191999,Fri,79,Golden State Warriors,84,Box Score,0
107,0219199994,02191999,Fri,94,Los Angeles Lakers,106,Box Score,0
108,0219199996,02191999,Fri,96,Minnesota Timberwolves,115,Box Score,0
109,0219199978,02191999,Fri,78,Philadelphia 76ers,67,Box Score,0
110,02191999101,02191999,Fri,101,Phoenix Suns,93,Box Score,0
111,0219199986,02191999,Fri,86,Portland Trail Blazers,106,Box Score,0
112,0219199995,02191999,Fri,95,Sacramento Kings,106,Box Score,0
113,0219199982,02191999,Fri,82,Toronto Raptors,90,Box Score,0
114,0219199991,02191999,Fri,91,Washington Wizards,93,Box Score,0
115,0220199984,02201999,Sat,84,Cleveland Cavaliers,89,Box Score,0
116,02201999105,02201999,Sat,105,Los Angeles Clippers,90,Box Score,0
117,0220199971,02201999,Sat,71,Miami Heat,81,Box Score,0
118,0220199982,02201999,Sat,82,Milwaukee Bucks,80,Box Score,0
119,0220199976,02201999,Sat,76,Philadelphia 76ers,69,Box Score,0
120,0220199984,02201999,Sat,84,Portland Trail Blazers,90,Box Score,0
121,0220199980,02201999,Sat,80,Utah Jazz,110,Box Score,0
122,0221199979,02211999,Sun,79,Indiana Pacers,80,Box Score,0
123,0221199990,02211999,Sun,90,Minnesota Timberwolves,102,Box Score,0
124,0221199963,02211999,Sun,63,New York Knicks,79,Box Score,0
125,0221199983,02211999,Sun,83,Orlando Magic,109,Box Score,0
126,0221199964,02211999,Sun,64,San Antonio Spurs,85,Box Score,0
127,0221199989,02211999,Sun,89,Seattle SuperSonics,92,Box Score,0
